Orders             Exp_profit          Exp_sales           Exp_lost_sales      Exp_leftover        Stockout_prob

     4091.27          219833.87             3016.59              120.58             1074.68                0.20



Scenario           Profit              Sales               Leftover_inv        demand
s324           324072.40                    4058.98               32.29             4058.98
s325           254718.46                    3365.44              725.83             3365.44
s326           242003.43                    3238.29              852.98             3238.29
s327            27192.33                    1090.18             3001.09             1090.18
s328           100105.54                    1819.31             2271.96             1819.31
s329           299583.53                    3814.09              277.18             3814.09
s330           155741.44                    2375.67             1715.60             2375.67
s331           327301.63                    4091.27                0.00             5231.73
s332           327301.63                    4091.27                0.00             4741.49
s333           319564.97                    4013.90               77.37             4013.90
s334           119148.63                    2009.74             2081.53             2009.74
s335           162871.45                    2446.97             1644.30             2446.97
s336           280765.10                    3625.91              465.37             3625.91
s337           318047.83                    3998.73               92.54             3998.73
s338           327301.63                    4091.27                0.00             4242.66
s339           245076.37                    3269.02              822.25             3269.02
s340           327301.63                    4091.27                0.00             4716.48
s341           293264.55                    3750.90              340.37             3750.90
s342           249125.25                    3309.51              781.76             3309.51
s343           131537.81                    2133.63             1957.64             2133.63
s344            66795.37                    1486.21             2605.06             1486.21
s345           249292.33                    3311.18              780.09             3311.18
s346           271735.96                    3535.61              555.66             3535.61
s347           299474.40                    3813.00              278.27             3813.00
s348           180106.87                    2619.32             1471.95             2619.32
s349           122828.04                    2046.53             2044.74             2046.53
s350           203452.64                    2852.78             1238.49             2852.78
s351           236121.67                    3179.47              911.80             3179.47
s352           178324.17                    2601.50             1489.77             2601.50
s353            69151.21                    1509.77             2581.50             1509.77
s354           300538.49                    3823.64              267.63             3823.64
s355           275348.75                    3571.74              519.53             3571.74
s356           305713.41                    3875.39              215.88             3875.39
s357           327301.63                    4091.27                0.00             4280.25
s358           203378.96                    2852.04             1239.23             2852.04
s359           327301.63                    4091.27                0.00             4265.23
s360              695.86                     825.21             3266.06              825.21
s361            55711.96                    1375.37             2715.90             1375.37
s362           327301.63                    4091.27                0.00             4491.66
s363           159506.94                    2413.32             1677.95             2413.32
s364           111541.03                    1933.66             2157.61             1933.66
s365           282380.56                    3642.06              449.21             3642.06
s366           192063.25                    2738.89             1352.38             2738.89
s367           213677.68                    2955.03             1136.24             2955.03
s368           202418.74                    2842.44             1248.83             2842.44
s369           244707.13                    3265.33              825.95             3265.33
s370           264781.09                    3466.06              625.21             3466.06
s371           223836.78                    3056.62             1034.65             3056.62
s372           268684.86                    3505.10              586.17             3505.10
s373           287365.89                    3691.91              399.36             3691.91
s374           179658.03                    2614.83             1476.44             2614.83
s375           159062.16                    2408.88             1682.39             2408.88
s376           327301.63                    4091.27                0.00             4552.70
s377           302879.05                    3847.04              244.23             3847.04
s378           220369.86                    3021.95             1069.32             3021.95
s379           178234.20                    2600.60             1490.67             2600.60
s380           177978.43                    2598.04             1493.23             2598.04
s381            79733.29                    1615.59             2475.68             1615.59
s382           327301.63                    4091.27                0.00             4346.74
s383           130291.28                    2121.17             1970.10             2121.17
s384           327301.63                    4091.27                0.00             4960.92
s385           263903.46                    3457.29              633.98             3457.29
s386           162390.56                    2442.16             1649.11             2442.16
s387           249589.28                    3314.15              777.12             3314.15
s388           327301.63                    4091.27                0.00             4276.88
s389           261412.91                    3432.38              658.89             3432.38
s390           327301.63                    4091.27                0.00             4652.09
s391           229281.56                    3111.07              980.20             3111.07
s392           233579.07                    3154.04              937.23             3154.04
s393            49887.15                    1317.13             2774.14             1317.13
s394           131821.77                    2136.47             1954.80             2136.47
s395           265623.33                    3474.49              616.78             3474.49
s396           120694.13                    2025.20             2066.08             2025.20
s397           255888.06                    3377.13              714.14             3377.13
s398           327301.63                    4091.27                0.00             4474.91
s399           148825.00                    2306.50             1784.77             2306.50
s400           128070.63                    2098.96             1992.31             2098.96
s401           327301.63                    4091.27                0.00             4365.52
s402           292278.52                    3741.04              350.23             3741.04
s403           183013.07                    2648.38             1442.89             2648.38
s404           327301.63                    4091.27                0.00             4094.50
s405           116776.69                    1986.02             2105.25             1986.02
s406           278804.11                    3606.30              484.98             3606.30
s407           254850.10                    3366.76              724.52             3366.76
s408           122761.33                    2045.87             2045.40             2045.87
s409           181436.81                    2632.62             1458.65             2632.62
s410           203077.19                    2849.03             1242.24             2849.03
s411           167653.52                    2494.79             1596.48             2494.79
s412            -7521.82                     743.04             3348.23              743.04
s413           230195.08                    3120.20              971.07             3120.20
s414           264265.81                    3460.91              630.36             3460.91
s415           305062.42                    3868.88              222.39             3868.88
s416           282130.12                    3639.56              451.72             3639.56
s417           255730.21                    3375.56              715.71             3375.56
s418           282047.45                    3638.73              452.54             3638.73
s419           327301.63                    4091.27                0.00             4999.04
s420            -8108.19                     737.17             3354.10              737.17
s421           194254.96                    2760.80             1330.47             2760.80
s422            84429.17                    1662.55             2428.72             1662.55
s423           265115.19                    3469.41              621.86             3469.41
s424           294622.69                    3764.48              326.79             3764.48
s425           220277.50                    3021.03             1070.24             3021.03
s426           147354.50                    2291.80             1799.47             2291.80
s427            97051.07                    1788.76             2302.51             1788.76
s428           181153.28                    2629.79             1461.48             2629.79
s429           327301.63                    4091.27                0.00             4474.03
s430           202050.03                    2838.75             1252.52             2838.75
s431           135947.59                    2177.73             1913.54             2177.73
s432           189014.29                    2708.40             1382.87             2708.40
s433            81557.54                    1633.83             2457.44             1633.83
s434           299107.59                    3809.33              281.94             3809.33
s435            32157.24                    1139.83             2951.44             1139.83
s436           194921.67                    2767.47             1323.80             2767.47
s437           227525.05                    3093.50              997.77             3093.50
s438           327301.63                    4091.27                0.00             4122.92
s439           212671.65                    2944.97             1146.30             2944.97
