Orders             Exp_profit          Exp_sales           Exp_lost_sales      Exp_leftover        Stockout_prob       CVaR

     1612.68          124385.13             1566.39             1570.79               46.29                0.92            82725.06



Scenario           Profit              Sales               Leftover_inv        demand
s175           129014.02                    1612.68                0.00             4548.85
s176           129014.02                    1612.68                0.00             2443.43
s177           129014.02                    1612.68                0.00             3957.97
s178           129014.02                    1612.68                0.00             3493.36
s179           129014.02                    1612.68                0.00             2961.18
s180           129014.02                    1612.68                0.00             3737.22
s181           129014.02                    1612.68                0.00             4514.19
s182           129014.02                    1612.68                0.00             3352.89
s183           129014.02                    1612.68                0.00             3573.93
s184           129014.02                    1612.68                0.00             5024.76
s185           129014.02                    1612.68                0.00             2998.27
s186           129014.02                    1612.68                0.00             3732.34
s187           -17849.61                     144.04             1468.64              144.04
s188           129014.02                    1612.68                0.00             5122.31
s189           129014.02                    1612.68                0.00             2691.48
s190           129014.02                    1612.68                0.00             3026.21
s191           129014.02                    1612.68                0.00             3688.75
s192           129014.02                    1612.68                0.00             3274.05
s193           129014.02                    1612.68                0.00             3510.31
s194           101260.66                    1335.14              277.53             1335.14
s195           129014.02                    1612.68                0.00             3645.14
s196           129014.02                    1612.68                0.00             2797.67
s197           129014.02                    1612.68                0.00             3235.16
s198           129014.02                    1612.68                0.00             3181.71
s199           129014.02                    1612.68                0.00             4042.54
s200           120980.57                    1532.34               80.33             1532.34
s201           129014.02                    1612.68                0.00             2575.40
s202           129014.02                    1612.68                0.00             3764.85
s203           129014.02                    1612.68                0.00             2759.89
s204           129014.02                    1612.68                0.00             3029.35
s205           129014.02                    1612.68                0.00             3293.42
s206           129014.02                    1612.68                0.00             4071.56
s207           129014.02                    1612.68                0.00             4144.28
s208           129014.02                    1612.68                0.00             2512.89
s209           129014.02                    1612.68                0.00             4029.13
s210           129014.02                    1612.68                0.00             2550.31
s211           129014.02                    1612.68                0.00             2615.71
s212           129014.02                    1612.68                0.00             2653.85
s213           129014.02                    1612.68                0.00             2927.99
s214           129014.02                    1612.68                0.00             2451.07
s215           129014.02                    1612.68                0.00             4275.19
s216           129014.02                    1612.68                0.00             4567.11
s217           129014.02                    1612.68                0.00             4616.65
s218           129014.02                    1612.68                0.00             2198.09
s219           129014.02                    1612.68                0.00             3922.24
s220           129014.02                    1612.68                0.00             4843.11
s221           129014.02                    1612.68                0.00             2323.17
s222           129014.02                    1612.68                0.00             2523.03
s223           129014.02                    1612.68                0.00             2786.21
s224           129014.02                    1612.68                0.00             3078.87
s225           129014.02                    1612.68                0.00             4501.35
s226           129014.02                    1612.68                0.00             3628.98
s227           129014.02                    1612.68                0.00             2324.10
s228           129014.02                    1612.68                0.00             2110.19
s229           129014.02                    1612.68                0.00             3114.46
s230           129014.02                    1612.68                0.00             4367.70
s231           129014.02                    1612.68                0.00             2022.75
s232           129014.02                    1612.68                0.00             3208.13
s233           129014.02                    1612.68                0.00             3376.59
s234           129014.02                    1612.68                0.00             3422.66
s235           129014.02                    1612.68                0.00             3092.89
s236           129014.02                    1612.68                0.00             2156.75
s237           118765.89                    1510.19              102.48             1510.19
s238           129014.02                    1612.68                0.00             2714.67
s239           129014.02                    1612.68                0.00             3196.28
s240           129014.02                    1612.68                0.00             2607.45
s241           129014.02                    1612.68                0.00             2032.86
s242           129014.02                    1612.68                0.00             3734.26
s243           129014.02                    1612.68                0.00             3367.61
s244           129014.02                    1612.68                0.00             3802.00
s245           129014.02                    1612.68                0.00             2750.59
