Orders             Exp_profit          Exp_sales           Exp_lost_sales      Exp_leftover        Stockout_prob       CVaR

     3460.04          213636.38             2828.37              308.81              631.67                0.40           192580.81



Scenario           Profit              Sales               Leftover_inv        demand
s367           226302.32                    2955.03              505.01             2955.03
s368           215043.38                    2842.44              617.60             2842.44
s369           257331.77                    3265.33              194.71             3265.33
s370           276803.08                    3460.04                0.00             3466.06
s371           236461.42                    3056.62              403.42             3056.62
s372           276803.08                    3460.04                0.00             3505.10
s373           276803.08                    3460.04                0.00             3691.91
s374           192282.67                    2614.83              845.20             2614.83
s375           171686.80                    2408.88             1051.16             2408.88
s376           276803.08                    3460.04                0.00             4552.70
s377           276803.08                    3460.04                0.00             3847.04
s378           232994.50                    3021.95              438.09             3021.95
s379           190858.84                    2600.60              859.44             2600.60
s380           190603.07                    2598.04              862.00             2598.04
s381            92357.93                    1615.59             1844.45             1615.59
s382           276803.08                    3460.04                0.00             4346.74
s383           142915.92                    2121.17             1338.87             2121.17
s384           276803.08                    3460.04                0.00             4960.92
s385           276528.10                    3457.29                2.75             3457.29
s386           175015.20                    2442.16             1017.88             2442.16
s387           262213.92                    3314.15              145.89             3314.15
s388           276803.08                    3460.04                0.00             4276.88
s389           274037.55                    3432.38               27.66             3432.38
s390           276803.08                    3460.04                0.00             4652.09
s391           241906.20                    3111.07              348.97             3111.07
s392           246203.71                    3154.04              305.99             3154.04
s393            62511.79                    1317.13             2142.91             1317.13
s394           144446.41                    2136.47             1323.57             2136.47
s395           276803.08                    3460.04                0.00             3474.49
s396           133318.77                    2025.20             1434.84             2025.20
s397           268512.70                    3377.13               82.90             3377.13
s398           276803.08                    3460.04                0.00             4474.91
s399           161449.64                    2306.50             1153.53             2306.50
s400           140695.27                    2098.96             1361.08             2098.96
s401           276803.08                    3460.04                0.00             4365.52
s402           276803.08                    3460.04                0.00             3741.04
s403           195637.70                    2648.38              811.65             2648.38
s404           276803.08                    3460.04                0.00             4094.50
s405           129401.33                    1986.02             1474.02             1986.02
s406           276803.08                    3460.04                0.00             3606.30
s407           267474.74                    3366.76               93.28             3366.76
s408           135385.97                    2045.87             1414.17             2045.87
s409           194061.45                    2632.62              827.42             2632.62
s410           215701.83                    2849.03              611.01             2849.03
s411           180278.16                    2494.79              965.25             2494.79
s412             5102.82                     743.04             2717.00              743.04
s413           242819.72                    3120.20              339.83             3120.20
s414           276803.08                    3460.04                0.00             3460.91
s415           276803.08                    3460.04                0.00             3868.88
s416           276803.08                    3460.04                0.00             3639.56
s417           268354.85                    3375.56               84.48             3375.56
s418           276803.08                    3460.04                0.00             3638.73
s419           276803.08                    3460.04                0.00             4999.04
s420             4516.45                     737.17             2722.87              737.17
s421           206879.60                    2760.80              699.23             2760.80
s422            97053.81                    1662.55             1797.49             1662.55
s423           276803.08                    3460.04                0.00             3469.41
s424           276803.08                    3460.04                0.00             3764.48
s425           232902.14                    3021.03              439.01             3021.03
s426           159979.14                    2291.80             1168.24             2291.80
s427           109675.71                    1788.76             1671.27             1788.76
s428           193777.92                    2629.79              830.25             2629.79
s429           276803.08                    3460.04                0.00             4474.03
s430           214674.67                    2838.75              621.28             2838.75
s431           148572.22                    2177.73             1282.31             2177.73
s432           201638.93                    2708.40              751.64             2708.40
s433            94182.18                    1633.83             1826.21             1633.83
s434           276803.08                    3460.04                0.00             3809.33
s435            44781.88                    1139.83             2320.21             1139.83
s436           207546.31                    2767.47              692.57             2767.47
s437           240149.69                    3093.50              366.53             3093.50
s438           276803.08                    3460.04                0.00             4122.92
s439           225296.29                    2944.97              515.07             2944.97
s440           127530.37                    1967.31             1492.73             1967.31
s441           -14129.36                     550.71             2909.32              550.71
s442           137976.95                    2071.78             1388.26             2071.78
s443           276803.08                    3460.04                0.00             3659.06
s444           276803.08                    3460.04                0.00             3847.68
s445           276803.08                    3460.04                0.00             3508.44
s446           276803.08                    3460.04                0.00             3547.67
s447           117798.02                    1869.99             1590.05             1869.99
s448           276803.08                    3460.04                0.00             4516.27
s449           276803.08                    3460.04                0.00             5292.89
s450           276803.08                    3460.04                0.00             4436.69
s451           203072.72                    2722.73              737.30             2722.73
s452           120066.24                    1892.67             1567.37             1892.67
s453           276803.08                    3460.04                0.00             3977.76
s454           276803.08                    3460.04                0.00             5742.93
s455           276803.08                    3460.04                0.00             4437.46
s456           110902.60                    1801.03             1659.00             1801.03
s457           196098.27                    2652.99              807.05             2652.99
s458           156025.62                    2252.26             1207.77             2252.26
s459            78805.76                    1480.07             1979.97             1480.07
s460           225370.43                    2945.71              514.33             2945.71
s461           276803.08                    3460.04                0.00             4208.20
s462           128729.49                    1979.30             1480.74             1979.30
s463           276803.08                    3460.04                0.00             4166.14
s464           276803.08                    3460.04                0.00             3774.74
s465            76793.48                    1459.94             2000.10             1459.94
s466           246619.08                    3158.20              301.84             3158.20
s467            99750.02                    1689.51             1770.53             1689.51
s468           -52545.65                     166.55             3293.49              166.55
s469           -69200.77                       0.00             3460.04                0.00
s470           276803.08                    3460.04                0.00             4851.84
s471           276803.08                    3460.04                0.00             3980.06
s472           206548.25                    2757.49              702.55             2757.49
s473           211621.28                    2808.22              651.82             2808.22
s474           108343.95                    1775.45             1684.59             1775.45
s475           212336.57                    2815.37              644.67             2815.37
s476           276803.08                    3460.04                0.00             5157.40
s477            44371.77                    1135.73             2324.31             1135.73
s478           276803.08                    3460.04                0.00             3904.70
s479           219045.92                    2882.47              577.57             2882.47
s480           276803.08                    3460.04                0.00             4877.46
s481           128351.26                    1975.52             1484.52             1975.52
s482           157298.89                    2265.00             1195.04             2265.00
s483           276803.08                    3460.04                0.00             3968.11
s484           276803.08                    3460.04                0.00             5149.28
s485             8527.14                     777.28             2682.76              777.28
s486            26605.10                     958.06             2501.98              958.06
s487           276803.08                    3460.04                0.00             4284.70
s488           263524.03                    3327.25              132.79             3327.25
s489           276803.08                    3460.04                0.00             5573.77
s490           276803.08                    3460.04                0.00             4540.77
s491           276803.08                    3460.04                0.00             3802.55
s492           244330.97                    3135.32              324.72             3135.32
s493           257209.46                    3264.10              195.94             3264.10
s494           143195.62                    2123.96             1336.07             2123.96
s495           218448.57                    2876.49              583.55             2876.49
s496           107871.97                    1770.73             1689.31             1770.73
s497           236699.77                    3059.01              401.03             3059.01
s498           219479.69                    2886.80              573.23             2886.80
s499           236624.58                    3058.25              401.79             3058.25
s500           276803.08                    3460.04                0.00             5004.41
s501           255173.07                    3243.74              216.30             3243.74
s502           276803.08                    3460.04                0.00             3776.77
s503            90221.61                    1594.22             1865.81             1594.22
s504           135632.13                    2048.33             1411.71             2048.33
s505           272668.37                    3418.69               41.35             3418.69
s506           217067.14                    2862.68              597.36             2862.68
s507           276803.08                    3460.04                0.00             5600.52
s508           276803.08                    3460.04                0.00             4239.73
s509            80448.63                    1496.49             1963.54             1496.49
s510           144556.04                    2137.57             1322.47             2137.57
s511           162115.86                    2313.17             1146.87             2313.17
s512           -69200.77                       0.00             3460.04                0.00
s513           276803.08                    3460.04                0.00             4519.56
s514           122161.61                    1913.62             1546.41             1913.62
s515           106685.02                    1758.86             1701.18             1758.86
s516           272846.30                    3420.47               39.57             3420.47
s517           187644.59                    2568.45              891.58             2568.45
