Orders             Exp_profit          Exp_sales           Exp_lost_sales      Exp_leftover        Stockout_prob       CVaR

     2184.20          162559.11             2062.43             1074.75              121.77                0.80           126027.54



Scenario           Profit              Sales               Leftover_inv        demand
s219           174736.30                    2184.20                0.00             3922.24
s220           174736.30                    2184.20                0.00             4843.11
s221           174736.30                    2184.20                0.00             2323.17
s222           174736.30                    2184.20                0.00             2523.03
s223           174736.30                    2184.20                0.00             2786.21
s224           174736.30                    2184.20                0.00             3078.87
s225           174736.30                    2184.20                0.00             4501.35
s226           174736.30                    2184.20                0.00             3628.98
s227           174736.30                    2184.20                0.00             2324.10
s228           167334.52                    2110.19               74.02             2110.19
s229           174736.30                    2184.20                0.00             3114.46
s230           174736.30                    2184.20                0.00             4367.70
s231           158591.41                    2022.75              161.45             2022.75
s232           174736.30                    2184.20                0.00             3208.13
s233           174736.30                    2184.20                0.00             3376.59
s234           174736.30                    2184.20                0.00             3422.66
s235           174736.30                    2184.20                0.00             3092.89
s236           171990.59                    2156.75               27.46             2156.75
s237           107335.32                    1510.19              674.01             1510.19
s238           174736.30                    2184.20                0.00             2714.67
s239           174736.30                    2184.20                0.00             3196.28
s240           174736.30                    2184.20                0.00             2607.45
s241           159601.44                    2032.86              151.35             2032.86
s242           174736.30                    2184.20                0.00             3734.26
s243           174736.30                    2184.20                0.00             3367.61
s244           174736.30                    2184.20                0.00             3802.00
s245           174736.30                    2184.20                0.00             2750.59
s246           174736.30                    2184.20                0.00             2917.83
s247           174736.30                    2184.20                0.00             3164.90
s248           174736.30                    2184.20                0.00             3743.60
s249           174736.30                    2184.20                0.00             2192.11
s250           174736.30                    2184.20                0.00             3228.50
s251           174736.30                    2184.20                0.00             3137.31
s252           153801.05                    1974.85              209.35             1974.85
s253           174736.30                    2184.20                0.00             3177.52
s254           174736.30                    2184.20                0.00             2958.72
s255           174736.30                    2184.20                0.00             3797.97
s256           174736.30                    2184.20                0.00             2260.01
s257           174736.30                    2184.20                0.00             2799.87
s258           173046.60                    2167.31               16.90             2167.31
s259           174736.30                    2184.20                0.00             3846.63
s260           174736.30                    2184.20                0.00             4091.40
s261           174736.30                    2184.20                0.00             3766.87
s262           174736.30                    2184.20                0.00             2428.68
s263           174736.30                    2184.20                0.00             4661.93
s264           174736.30                    2184.20                0.00             2548.50
s265           174736.30                    2184.20                0.00             3791.74
s266           174736.30                    2184.20                0.00             2357.65
s267           174736.30                    2184.20                0.00             3115.42
s268           174736.30                    2184.20                0.00             2287.76
s269           174736.30                    2184.20                0.00             2850.69
s270           174736.30                    2184.20                0.00             2226.29
s271           133231.19                    1769.15              415.05             1769.15
s272           174736.30                    2184.20                0.00             2364.73
s273           174736.30                    2184.20                0.00             3440.59
s274           130606.45                    1742.91              441.30             1742.91
s275           174736.30                    2184.20                0.00             3860.64
s276           174736.30                    2184.20                0.00             3369.12
s277           174736.30                    2184.20                0.00             2755.49
s278           174736.30                    2184.20                0.00             2212.92
s279           174736.30                    2184.20                0.00             4132.07
s280           174736.30                    2184.20                0.00             4502.04
s281           174736.30                    2184.20                0.00             2430.41
s282            91450.35                    1351.34              832.86             1351.34
s283           174736.30                    2184.20                0.00             2255.18
s284           174736.30                    2184.20                0.00             4902.12
s285           174736.30                    2184.20                0.00             3755.93
s286           174736.30                    2184.20                0.00             3825.63
s287           174736.30                    2184.20                0.00             3136.01
s288           156436.95                    2001.21              182.99             2001.21
s289           174736.30                    2184.20                0.00             2671.57
s290           174736.30                    2184.20                0.00             4036.61
s291           164042.04                    2077.26              106.94             2077.26
s292           174736.30                    2184.20                0.00             3799.42
s293           174736.30                    2184.20                0.00             4098.48
s294           174736.30                    2184.20                0.00             3581.96
s295            -8046.09                     356.38             1827.82              356.38
s296           174736.30                    2184.20                0.00             2184.20
s297           174736.30                    2184.20                0.00             4192.43
s298           174736.30                    2184.20                0.00             3642.28
s299           174736.30                    2184.20                0.00             3857.40
s300           174736.30                    2184.20                0.00             2991.40
s301           174736.30                    2184.20                0.00             4327.46
s302           174736.30                    2184.20                0.00             3547.91
s303           174415.98                    2181.00                3.20             2181.00
s304           174736.30                    2184.20                0.00             4400.82
s305           172310.54                    2159.95               24.26             2159.95
s306           174736.30                    2184.20                0.00             3287.67
s307            36688.90                     803.73             1380.47              803.73
s308           174736.30                    2184.20                0.00             2469.33
s309            74910.58                    1185.95              998.26             1185.95
s310           174736.30                    2184.20                0.00             4643.70
s311           174736.30                    2184.20                0.00             3516.03
s312           147266.70                    1909.51              274.70             1909.51
s313           174736.30                    2184.20                0.00             2664.49
s314           174736.30                    2184.20                0.00             4877.15
s315           174736.30                    2184.20                0.00             3157.62
s316           153456.00                    1971.40              212.80             1971.40
s317            99221.62                    1429.06              755.15             1429.06
s318           174736.30                    2184.20                0.00             3712.37
s319           174736.30                    2184.20                0.00             2832.88
s320           166059.63                    2097.44               86.77             2097.44
s321           174736.30                    2184.20                0.00             3988.47
s322           174736.30                    2184.20                0.00             3661.53
s323           174736.30                    2184.20                0.00             4011.89
s324           174736.30                    2184.20                0.00             4058.98
s325           174736.30                    2184.20                0.00             3365.44
s326           174736.30                    2184.20                0.00             3238.29
s327            65333.66                    1090.18             1094.03             1090.18
s328           138246.87                    1819.31              364.89             1819.31
s329           174736.30                    2184.20                0.00             3814.09
s330           174736.30                    2184.20                0.00             2375.67
s331           174736.30                    2184.20                0.00             5231.73
s332           174736.30                    2184.20                0.00             4741.49
s333           174736.30                    2184.20                0.00             4013.90
s334           157289.96                    2009.74              174.46             2009.74
s335           174736.30                    2184.20                0.00             2446.97
s336           174736.30                    2184.20                0.00             3625.91
s337           174736.30                    2184.20                0.00             3998.73
s338           174736.30                    2184.20                0.00             4242.66
s339           174736.30                    2184.20                0.00             3269.02
s340           174736.30                    2184.20                0.00             4716.48
s341           174736.30                    2184.20                0.00             3750.90
s342           174736.30                    2184.20                0.00             3309.51
s343           169679.14                    2133.63               50.57             2133.63
s344           104936.70                    1486.21              698.00             1486.21
s345           174736.30                    2184.20                0.00             3311.18
s346           174736.30                    2184.20                0.00             3535.61
s347           174736.30                    2184.20                0.00             3813.00
s348           174736.30                    2184.20                0.00             2619.32
s349           160969.37                    2046.53              137.67             2046.53
s350           174736.30                    2184.20                0.00             2852.78
s351           174736.30                    2184.20                0.00             3179.47
s352           174736.30                    2184.20                0.00             2601.50
