CVaR               VaR

       50.84              50.84



Scenario           Finish_time         Tail
s570               50.84                       0.00
s571               50.84                       0.00
s572               50.84                       0.00
s573               50.84                       0.00
s574               50.84                       0.00
s575               50.84                       0.00
s576               50.84                       0.00
s577               50.84                       0.00
s578               50.84                       0.00
s579               50.84                       0.00
s580               50.84                       0.00
s581               50.84                       0.00
s582               50.84                       0.00
s583               50.84                       0.00
s584               50.84                       0.00
s585               50.84                       0.00
s586               50.84                       0.00
s587               50.84                       0.00
s588               50.84                       0.00
s589               50.84                       0.00
s590               50.84                       0.00
s591               50.84                       0.00
s592               50.84                       0.00
s593               50.84                       0.00
s594               50.84                       0.00
s595               50.84                       0.00
s596               50.84                       0.00
s597               50.84                       0.00
s598               50.84                       0.00
s599               50.84                       0.00
s600               50.84                       0.00
s601               50.84                       0.00
s602               50.84                       0.00
s603               50.84                       0.00
s604               50.84                       0.00
s605               50.84                       0.00
s606               50.84                       0.00
s607               50.84                       0.00
s608               50.84                       0.00
s609               50.84                       0.00
s610               50.84                       0.00
s611               50.84                       0.00
s612               50.84                       0.00
s613               50.84                       0.00
s614               50.84                       0.00
s615               50.84                       0.00
s616               50.84                       0.00
s617               50.84                       0.00
s618               50.84                       0.00
s619               50.84                       0.00
s620               50.84                       0.00
s621               50.84                       0.00
s622               50.84                       0.00
s623               50.84                       0.00
s624               50.84                       0.00
s625               50.84                       0.00
s626               50.84                       0.00
s627               50.84                       0.00
s628               50.84                       0.00
s629               50.84                       0.00
s630               50.84                       0.00
s631               50.84                       0.00
s632               50.84                       0.00
s633               50.84                       0.00
s634               50.84                       0.00
s635               50.84                       0.00
s636               50.84                       0.00
s637               50.84                       0.00
s638               50.84                       0.00
s639               50.84                       0.00
s640               50.84                       0.00
s641               50.84                       0.00
s642               50.84                       0.00
s643               50.84                       0.00
s644               50.84                       0.00
s645               50.84                       0.00
s646               50.84                       0.00
s647               50.84                       0.00
s648               50.84                       0.00
s649               50.84                       0.00
s650               50.84                       0.00
s651               50.84                       0.00
s652               50.84                       0.00
s653               50.84                       0.00
s654               50.84                       0.00
s655               50.84                       0.00
s656               50.84                       0.00
s657               50.84                       0.00
s658               50.84                       0.00
s659               50.84                       0.00
s660               50.84                       0.00
s661               50.84                       0.00
s662               50.84                       0.00
s663               50.84                       0.00
s664               50.84                       0.00
s665               50.84                       0.00
s666               50.84                       0.00
s667               50.84                       0.00
s668               50.84                       0.00
s669               50.84                       0.00
s670               50.84                       0.00
s671               50.84                       0.00
s672               50.84                       0.00
s673               50.84                       0.00
s674               50.84                       0.00
s675               50.84                       0.00
s676               50.84                       0.00
s677               50.84                       0.00
s678               50.84                       0.00
s679               50.84                       0.00
s680               50.84                       0.00
s681               50.84                       0.00
s682               50.84                       0.00
s683               50.84                       0.00
s684               50.84                       0.00
s685               50.84                       0.00
s686               50.84                       0.00
s687               50.84                       0.00
s688               50.84                       0.00
s689               50.84                       0.00
s690               50.84                       0.00
s691               50.84                       0.00
s692               50.84                       0.00
s693               50.84                       0.00
s694               50.84                       0.00
s695               50.84                       0.00
s696               50.84                       0.00
s697               50.84                       0.00
s698               50.84                       0.00
s699               50.84                       0.00
s700               50.84                       0.00
s701               50.84                       0.00
s702               50.84                       0.00
s703               50.84                       0.00
s704               50.84                       0.00
s705               50.84                       0.00
s706               50.84                       0.00
s707               50.84                       0.00
s708               50.84                       0.00
s709               50.84                       0.00
s710               50.84                       0.00
s711               50.84                       0.00
s712               50.84                       0.00
s713               50.84                       0.00
s714               50.84                       0.00
s715               50.84                       0.00
s716               50.84                       0.00
s717               50.84                       0.00
s718               50.84                       0.00
s719               50.84                       0.00
s720               50.84                       0.00
s721               50.84                       0.00
s722               50.84                       0.00
s723               50.84                       0.00
s724               50.84                       0.00
s725               50.84                       0.00
s726               50.84                       0.00
s727               50.84                       0.00
s728               50.84                       0.00
s729               50.84                       0.00
s730               50.84                       0.00
s731               50.84                       0.00
s732               50.84                       0.00
s733               50.84                       0.00
s734               50.84                       0.00
s735               50.84                       0.00
s736               50.84                       0.00
s737               50.84                       0.00
s738               50.84                       0.00
s739               50.84                       0.00
s740               50.84                       0.00
s741               50.84                       0.00
s742               50.84                       0.00
s743               50.84                       0.00
s744               50.84                       0.00
s745               50.84                       0.00
s746               50.84                       0.00
s747               50.84                       0.00
s748               50.84                       0.00
s749               50.84                       0.00
s750               50.84                       0.00
s751               50.84                       0.00
s752               50.84                       0.00
s753               50.84                       0.00
s754               50.84                       0.00
s755               50.84                       0.00
s756               50.84                       0.00
s757               50.84                       0.00
s758               50.84                       0.00
s759               50.84                       0.00
s760               50.84                       0.00
s761               50.84                       0.00
s762               50.84                       0.00
s763               50.84                       0.00
s764               50.84                       0.00
s765               50.84                       0.00
s766               50.84                       0.00
s767               50.84                       0.00
s768               50.84                       0.00
s769               50.84                       0.00
s770               50.84                       0.00
s771               50.84                       0.00
s772               50.84                       0.00
s773               50.84                       0.00
s774               50.84                       0.00
s775               50.84                       0.00
s776               50.84                       0.00
s777               50.84                       0.00
s778               50.84                       0.00
s779               50.84                       0.00
s780               50.84                       0.00
s781               50.84                       0.00
s782               50.84                       0.00
s783               50.84                       0.00
s784               50.84                       0.00
s785               50.84                       0.00
s786               50.84                       0.00
s787               50.84                       0.00
s788               50.84                       0.00
s789               50.84                       0.00
s790               50.84                       0.00
s791               50.84                       0.00
s792               50.84                       0.00
s793               50.84                       0.00
s794               50.84                       0.00
s795               50.84                       0.00
s796               50.84                       0.00
s797               50.84                       0.00
s798               50.84                       0.00
s799               50.84                       0.00
s800               50.84                       0.00
s801               50.84                       0.00
s802               50.84                       0.00
s803               50.84                       0.00
s804               50.84                       0.00
s805               50.84                       0.00
s806               50.84                       0.00
s807               50.84                       0.00
s808               50.84                       0.00
s809               50.84                       0.00
s810               50.84                       0.00
s811               50.84                       0.00
s812               50.84                       0.00
s813               50.84                       0.00
s814               50.84                       0.00
s815               50.84                       0.00
s816               50.84                       0.00
s817               50.84                       0.00
s818               50.84                       0.00
s819               50.84                       0.00
s820               50.84                       0.00
s821               50.84                       0.00
s822               50.84                       0.00
s823               50.84                       0.00
s824               50.84                       0.00
s825               50.84                       0.00
s826               50.84                       0.00
s827               50.84                       0.00
s828               50.84                       0.00
s829               50.84                       0.00
s830               50.84                       0.00
s831               50.84                       0.00
s832               50.84                       0.00
s833               50.84                       0.00
s834               50.84                       0.00
s835               50.84                       0.00
s836               50.84                       0.00
s837               50.84                       0.00
s838               50.84                       0.00
s839               50.84                       0.00
s840               50.84                       0.00
s841               50.84                       0.00
s842               50.84                       0.00
s843               50.84                       0.00
s844               50.84                       0.00
s845               50.84                       0.00
s846               50.84                       0.00
s847               50.84                       0.00
s848               50.84                       0.00
s849               50.84                       0.00
s850               50.84                       0.00
s851               50.84                       0.00
s852               50.84                       0.00
s853               50.84                       0.00
s854               50.84                       0.00
s855               50.84                       0.00
s856               50.84                       0.00
s857               50.84                       0.00
s858               50.84                       0.00
s859               50.84                       0.00
s860               50.84                       0.00
s861               50.84                       0.00
s862               50.84                       0.00
s863               50.84                       0.00
s864               50.84                       0.00
s865               50.84                       0.00
